index,0
184,打动 不 二舅 作者 走红 处理 方式 不恰 钱 故事 结束 完美 一夜 爆红 人 中 最 见 最 不让 人 失望 感觉 贴合 认为 最好 结局 
185,看到 直面 生活 勇气 
186,看 微博 b 站 评论 发现 微博 真的 wc 风向 突然 转换 快 真的 不 觉得 离谱 … … 说实话 关注 up 不是 二舅 写 真的 很 喜欢 文案 有趣 作品 希望 up 越来越 好 小 电视 _ 太太 喜欢 
187,年度 最佳 纪录片 
188,瓜 新闻 里 说 回事 
189,泪流满面 一遍 一遍 
190,白嫖党 第一次 5 两枚 硬币 点赞 弹幕 评论 收藏 转发 投币 
191,敬 二舅 
192,度过 每个 平凡 日常 也许 连续 发生 奇迹   日常 
193,二舅 最近 精神支柱 
194,二舅 不 觉得 很 可怜 没有 活 人 可怜 不去 想 索取 去 创造 这点 可能 大多数 都 二叔 觉得 二叔 这种 精神 值得 去 尊敬 值得 去 学习 那兔 _ 好滴 小绿 小 蓝 _ 机智 
195,真的 好 感动     希望 大家 生活 都 二舅 平凡 充实 
196,期 文案 非常 好 支持 
197,特别 喜欢 文案 拍摄 
198,二舅 真不错 希望 再有 二舅 酱紫 人 
199,看到 打假 新闻 情况 
200,每个 人 生命 都 一篇 不朽 诗歌 
201,每个 人 生命 都 一篇 不朽 诗歌 
202,物述 栖 _ 起来 猫雷 Nyaru _ foofoo 永雏塔菲 _ 闪亮 登场 冰糖 IO   蜕变 闪耀 _ 思考 
203,敬 二舅 
204,保卫 萝卜 _ 哭哭 感动 希望 世界 上 更 人 二舅 自强 活着 
205,感动   热泪盈眶 
206,其实 觉得 高质量 视频 火 保卫 萝卜 _ 
207,感动 希望 大家 活 二舅 大哭 心心 
208,希望 大家 都 二舅 生活 tv _ 大哭 
209,感动   热泪盈眶 
210,支持 一下 找 不到 投币 只能 点赞 支持 
211,声明 一下 点赞 投币 二舅 UP 主 转送 一下 
212,永雏塔菲 _ 嘲笑 
213,真的 好 感动     希望 大家 生活 都 二舅 平凡 充实 
214,觉得 文案 写 很 好 藏狐 支持 
215,好 感动 想 成为 人 大哭 大哭 
 成为 up 主 人 
216,感动   热泪盈眶 
217,感动   热泪盈眶 
218,最 值得 学习 人 支持 
219,感动   热泪盈眶 
220,感动   热泪盈眶 
221,感动   热泪盈眶 
222,真是假 喜欢 关注 up 高考 作弊 一期 脸红 
223,好 
224,非常 可爱 _ 加油 
225,喜欢 二舅 永远 羡慕 直面 苦难 争取 胜利 勇气 
226,好 
227,敬 二舅 敬 历经 苦难 依旧 乐观 向上 灵魂 call 
228,每天 一遍 激励 星瞳 _ 敬礼 
229,    
230,打卡 二舅 人生 参悟 很多 感谢 二舅 感谢 老师 出 二舅 作文题 保佑 
231,喜欢 二舅 
232,身边 人   很 幸运   很 不幸   亲戚 说 失败   觉得 人生 成功 
233,不能 以前 想着 别人 不好 我要 好好 努力 大哭 心心 
234,永雏塔菲 _ 嘲笑 永雏塔菲 _ 嘲笑 
235,二舅 一种 工匠 精神 体现   卓越 平凡 可爱 人 
236,很 好 视频 看 完 真的 流泪 大家 一定 二舅 积极 乐观 
237,每天 一遍 激励 向晚 2.0 _ 双眼 wink 
238,3700 w .... 打个 卡   好久没 见 高 播放 量 www 好像 还 再涨 一段时间 热词 系列 _ 三连 
239,很 好 视频 祝 大家 都 二舅 乐观 积极 大哭 大哭 心心 
240,哈哈哈 哈哈哈 哈哈哈 
241,视频 感动 小 A 小 B _ 大哭 小 A 小 B _ 大哭 
242,感谢 二舅 心心 希望 二舅 永远 健康 心心 
243,特意 回来 点赞 投币 雪 未来 _ 惊喜 
244,哈哈哈哈 哈哈哈 
245,泪目 祝 大家 以后 人生 都 二舅 积极 乐观 相信 up 后代 会 延续 二舅 精神 大哭 大哭 大哭 
246,二舅 学习 
247,希望 每个 人 都 二舅 生活 
248,最后 一幕 回头 看 看 
249,很 好 视频 祝 大家 都 二舅 乐观 积极 
250,感谢 大戈 老师 call 
251,非常 好 视频 看 完后 浑身 充满 力量 星瞳 _ 敬礼 
252,很 好 视频 祝 大家 都 二舅 乐观 积极 
253,非常 好 视频 看 完后 浑身 充满 力量 星瞳 _ 敬礼 
254,伟大 大哭 大家 全都 二舅 学习 二舅 生活 call call 心心 
255,很 好 视频 祝 大家 都 二舅 乐观 积极 
256,非常 优秀 视频 看 哭 看到 弹幕 里 大片 敬 二舅 流泪 看 完 二舅 写 一篇 观后感 看 完后 浑身 充满 力量 真的 不错   call call call 
257,二舅 太酷 
258,下班 回来 累 看 加油打气   非常 好 视频 星瞳 _ 敬礼 
259,泪目 祝 大家 以后 人生 都 二舅 积极 乐观 相信 up 后代 会 延续 二舅 精神 大哭 大哭 大哭 
260,非常 优秀 视频 看 哭 看到 弹幕 里 大片 敬 二舅 流泪 看 完 二舅 写 一篇 观后感 看 完后 浑身 充满 力量 真的 不错   call call call 
261,非常 优秀 视频 看 完后 浑身 充满 力量 星瞳 _ 敬礼 
262,非常 优秀 视频 看 完后 浑身 充满 力量 星瞳 _ 敬礼 
263,看 哭 这是 长辈 经历 
264,非常 优秀 视频 看 完后 浑身 充满 力量 星瞳 _ 敬礼 
265,非常 优秀 视频 看 完后 浑身 充满 力量 星瞳 _ 敬礼 
266,非常 优秀 视频 看 完后 浑身 充满 力量 星瞳 _ 敬礼 
267,看 完后 真的 挺 感慨 视频 真的 很棒 
268,非常 优秀 视频 看 完后 浑身 充满 力量 星瞳 _ 敬礼 
269,二舅 想 
270,伟大 大哭 大家 全都 二舅 学习 二舅 生活 call call 心心 
271,看到 弹幕 里 大片 敬 二舅 流泪 大家 都 快乐 人 
272,说 道理 
273,收藏 焦虑 胆怯 犯 懒 回来 看一看 
274,好 故事   感谢 
275,看 完 二舅 写 一篇 观后感 tv _ 笑 哭 tv _ 难过 
276,估计 下学期 二舅 出现 语文 试卷 题目 里   大 概率 语言文字 运用 英语 语填 完 填 
277,上班 三年 资本家 治好 精神 内耗 
278,连续 看 两天   热泪盈眶 不 知道 感动 
279,老师 up 主 文案 讲 作文 call 
280,想 笑 想 哭 文字 魅力 加上 故事 本身 先生 大才 
281,老师 上 班会课 看 视频 热词 系列 _ 三连 热词 系列 _ 三连 
282,真的 不错   call call call 
283,好好 好好 好好 好好 
284,可爱 人儿 call 
285,二舅 TM 酷 
286,今天 考试 考了 二舅   笑 哭 特此 来看   啊啊啊 啊啊啊 啊啊啊 
287,荆棘 当做 铺 满鲜花 原野 人间 便 没什么 人 折磨 生固 无常 然生 顽强 
288,非常 好 视频 call 
289,看 视频 旁边 刚好 响起 孤 勇者 
290,每天 一遍 激励 
291,二舅 成功 获得 一篇 800 字 作文 歪嘴 
292,戈 老师 二舅 神像 没有 不会 说话 神像 更 适合 当神 
293,666666666666666666666 
294,优秀 二舅 ?? 
295,今天 班主任 放   回家 刷 
296,真正 文化 内涵 好 视频 支持 支持 支持 支持 脱单 doge 
297,好 感动   救命 
298,学校 昨天 发了 英文版 视频 内容简介 阅读 今天 刚刚 放假 看到 原来 学校 与时俱进 doge doge 
299,从不 回头 看 人 一定 不是 真的 快乐 
300,不 知道 深一脚浅一脚 走 年   却 好像 依然 爱着   步履蹒跚 人间 
301,作者 笔触 好像 之前 看 一位 名叫 野夫 作家 那种 中立 感觉 不 自已 予以 评价 记录 二舅 他述 史 好像 野夫 笔下 畸人 刘 镇西 
302,遇到 更好 机遇 一定 会 非常 出色     想法 遗憾   没有     现在 非常 出色   所有人 都 感到 佩服 
303,三千万 播放 量 
304,我爸 经历 何尝 不是 二舅 都 向前 看 后生可畏 
305,币 刚好 没 大哭 
306,每天 都 看一遍 每天 都 深深地 震撼 
307,二舅 极其 聪明 人 周围 都 玩转 很 好 农村 限制 
308,敬 二舅 
309,二舅 一生 
310,之前 省 重点高中 上学 后来 生病 退学 现在 还 发愁 工 笑 哭 二舅 确实 看到 希望 
311,二舅 人生 中 高 加林 有着 捉弄 命运 直面 惨淡 人生 勇气 
312,做不了 第一 快乐 人 做不了 快乐 人 看 视频 后 感觉 第三 快乐 人 
313,三连 鼓掌 
314,二舅 学习 call 
315,快乐 人 是从 不 回头 看 人 
 却 喜欢 频频 回顾 脚印 难过 
316,二舅 文化 生活态度 敬佩   up 主 文化 抒写   时而 幽默   更 敬佩 
317,谢谢 二舅 谢谢 up 觉得 拯救 保卫 萝卜 _ 哭哭 
318,恭喜 上 新闻 
319,up 很早 之前 关注   山东人 何德何能 那集 doge 
320,文案 去掉 画面 描绘出 拼搏 不息 二舅 真的 具有 力量 支持 
321,看 又哭又笑 
322,完 语文 老师 看到 到时候 考试 作文 少不了 笑 哭 笑 哭 
323,看着 看着 哭 委屈 大哭 祝 大家 都 成为 心目 中 二舅 拥抱 
324,感动 余 大家 应该 思考 一下 视频 重点 不 应该 赞美 二舅 精神 上 应该 聚焦 会 出现 这种 情况 实事求是 从根本上 解决问题 二舅 这种 承受 苦难 人 不再 出现 苦难 需要 解决 对象 不是 赞美 逆来顺受 
325,UP 主   纪录片 导演 潜质 支持 
326,泪目 祝 大家 以后 人生 都 二舅 积极 乐观 相信 up 后代 会 延续 二舅 精神 大哭 大哭 大哭 
327,三连 二舅 一生 
328,奶奶 之前 说 爷爷 样子 人 家里 刀 家具 锅具 爷爷 都 会 做 爷爷 特别 勤劳 人 从来 没见 爷爷 还 未 出生 之时 走 大哭 大哭 大哭 
329,网上 刷 大量 二舅 我本 不想 看 发现 竟然 关注 UP 发 赶紧 关注点 进来 上 一篇 看 食品安全 doge 
330,25 号 视频 当时 看 点 开头 没 兴趣 就关 今天 30 号 打开 b 站 发现 排行榜 第一 视频 抱 试试 心态 看 完 看 完后 心里 佩服 奋斗 应该 更加 合适 词 学识 有限 
331,泪目 祝 大家 以后 人生 都 二舅 积极 乐观 相信 up 后代 会 延续 二舅 精神 大哭 大哭 大哭 
332,想 说 投 两个 币 二舅 买点 东西 一想 二舅 缺 两个 币 投出去 只 稍微 充实 一下 内心 
333,二舅 其实 头像   活在 当下   绽放 出 精彩 人生 
334,二舅 永远 二舅 … … 
335,看 完 没有 治好 精神 内耗   反而 感到 愤怒 不合理 事物 强灌 鸡汤 只 二舅 感到 不公 才能 人 不该 沦落 不合理 不 应该   现实 却 此般 无奈 眼前 突兀 见 此屋 只 希望 二舅 人   有朝一日 得到 些许 温柔 对待 
336,感觉 作者 没有 怪罪 医生 感叹 命运 不公 tv _ 委屈 
337,好像 写 小说 
338,居然 二舅 身上 看到 脸红 
339,抛开 表象 看到 更 深刻 东西 
340,看 哭 ?? ?? ?? 
341,看着 看着 哭 委屈 大哭 祝 大家 都 成为 心目 中 二舅 拥抱 
342,留个 眼 几年 后 有人 考古 提醒 看 一下 有没有 新动向 微笑 
343,视频 突然 火 
344,三连   看 完 之后 毛孔 直立 
345,可惜 只能 投 两个 硬币 
346,挣扎 求生 
347,台词 两天 写成 天才 
348,二舅 点赞 投币 
349,二舅 传奇 电影 小说 里 人物 天才少年 稀奇 不是 没有 生活 巨变 下 二舅 仍 表现 自强 自信 珍贵 经历 之后 仍能 自洽 满足 
350,苦难 不 值得 歌颂 
351,画家 不 识 渔家 苦 好作 寒江 钓雪图 
352,二舅 真的 可惜 
353,小 经常 生病 老实 打针 吃药 后来 不 知道 腿 不能 走路 上 幼儿园 妈 背着 去 幼儿园 里 上 厕所 老师 抱 去 幸运 后来 腿 好 想来 幸运 
354,泪目 看 两遍 还觉 不够 敬 二舅 四肢 健全 上 大学 二舅 没得 汗颜 
355,爷爷 上学时 写文章 想 表达 出 这种 感觉 却 总 表达 不 出来 看到 UP 主 视频 真的 大哭 大哭 大哭 
356,年度 最佳 纪录片 二舅                     敬 二舅 
357,支持 作者 现在 网上 热度 都 蹭 调皮 作者 加油 碰瓷 
358,二舅 自我 救赎 
359,看着 up 几天 涨粉 一百多万 call call call 
360,二舅 并未 沉沦 方式 活出 属于 二舅 精彩 
361,居然 看 哭 
362,致敬 二舅 感谢 二舅 外甥 
363,回来   补个 热词 系列 _ 三连 
364,敬 二舅                 生命 火焰 一天 不 熄灭 人 很久以前 感受 瞬息之间 快乐 击溃 笼罩着 生涯 黑暗 宛如 篝火 夜晚 旷野 中 发出 一线 光明 能够 击碎 万斛 黑暗 
365,学校 写 观后感 热词 系列 _ 知识 增加 
366,山村里 光 
367,好久 没有 哭 看 完 视频 哭 
368,敬 二舅 藏狐 
369,很多 人生 打牌 极少 十全十美 牌 做 好 手里 牌 不 回头 
370,觉得 二舅 注定 得到 赞美 
 使 成为 人生 先知 人生 信念 传递 使 早早 认识 未知 前路   总是 传奇 不朽 拥抱 
371,看 三次 可惜 只能 投 一次 币 
372,一切都是 上天 注定 酸 
373,久西 睡 死 过去   看 两次 差点 哭 测 不准 阿波 同学 _ 眼泪汪汪 
374,二舅 从不 去 埋怨 坎坷 最 神情 最低 下时 会 慢慢 思考 做些 也许 背后 哭泣 金子 总是 会 发光 一天 
375,二舅 住 房子 多久 
376,眼泪 流 大哭 大哭 大哭 好长 一段时间 没掉 泪珠子 眼睛 干得 厉害 舅舅 一定 永远快乐 下去 大哭 
377,二舅 二舅   不是 二舅 
378,大哭 二舅 墨茶 都 好好 生活 
379,二舅 传奇 人生 大哭   认真 生活   好好 对待 人生 
380,二舅 乐观 积极向上 觉得 悲伤 满满的 溢出 屏幕 
381,热词 系列 _ 保护 
382,&# 34 快乐 人 从不 回头 看 人 &# 34   &# 34 人生 最大 遗憾 遗憾 过去 遗憾 &# 34 
383,看 完 
 
 说 平凡 不 平凡 生活 体现 时代 特有 乐观 代表 劳动 人民 固有 本分 反映 中华民族 长久 智慧 便是 生活 模样 
 
 up 文笔 真 好 望洋兴叹 
 念书 
384,支持 支持 支持 
385,支持 支持 支持 支持 支持 支持 支持 支持 
386,敬 二舅 
387,永远 都 1.8 w 人 看 小时 评论 只 增加 几条 令人 感叹 
388,泪目 祝 大家 以后 人生 都 二舅 积极 乐观 相信 up 后代 会 延续 二舅 精神 大哭 大哭 大哭 
389,视频 第一个 投币 视频 热词 系列 _ 你币 
390,up 二舅 外甥 女婿 
391,很多 人 都 会 高估 能力 
392,二舅 比我强 热词 系列 _ 三连 
393,每个 人 都 希望 二舅 那种 人生态度 没人 希望 二舅 那种 人生 遭遇 
394,热爱生活 人 历经 生活 磨难 之后 仍然 微笑 面对 生活 二舅 快乐 生活 今日 大泪目 
395,看到 三分 钟 眼泪 不知不觉 掉 下来 嘴角 笑 心里 敬畏 
396,点 赞 想 投个币 告知 余额 不足 剩下 0.9 … … 一种 很 奇怪 感觉 萦绕 心头 这种 诡异 感觉 异常 熟悉 却 找 不到 合适 词句 … … 
397,致敬 伟大 普通人 
398,最 平静 语气 讲述 充满 遗憾 人生 奥比 岛 _ 委屈 
399,确实 非常 喜欢 二舅 语文 老师 却 写 观后感 
 笑 哭 
400,二舅 能力 强 生活 却 不公 大哭 
401,最 喜欢 视频 最后 一段 
402,看着 看着 哭 委屈 
403,物述 栖 _ 晚上 好 猫雷 Nyaru _ bigface 永雏塔菲 _ 闪亮 登场 冰糖 IO   蜕变 闪耀 _ tskr 
404,热词 系列 _ 洛水 天依 视频 不错 
405,真没想到 会 看 哭 
406,真的 看 哭 二舅 真的 好 伟大 
407,好像 二舅 很多 好像 都 不 只 希望 二舅 以后 身体健康 每天 开心 快乐 多一点 
408,二舅 乐观 积极向上 觉得 悲伤 满满的 溢出 屏幕 
409,语文 老师 上课 放 心心 
410,每个 家庭 或多或少 都 故事   up 了解   还 剪辑 写 文案   发出   很 难得 
411,人 一生 很 短 二舅 却 活出 生活 精彩 敬 二舅 抱拳 
412,投币 超 上限 敬 二舅 
413,看 完 最大 感受 
 人 一生 活都 
 重要 对得起 
414,很 佩服 二舅 不 希望 以后 还会 出现 更 二舅 不是 好事 
415,二舅 都 天才 
416,看着 看着 笑 笑 一声 哭 出来 … 
417,二舅 真的 老一辈 人 朴素 生活 缩影 大哭   泪 打转 xdm 
418,今天 三连 献给 二舅 
419,怀疑 他学 鲁班 大师 绝技 笑 哭 
420,三千万 播放 
421,一双 善于 发掘 眼睛 二舅 生活 中 比比皆是 
422,二舅 很小 因病 去世 相貌 都 没有 印象 遗像 都 没有 知道 表哥 很 二舅 小时候 长大 后 不 二舅 唯一 记忆 去 他家 吃 外面 买来 菠萝 
